feature,importance_mean,importance_std
Contract,0.05262078590826871,0.005202376550237897
tenure,0.02434411072650402,0.005001639187712626
InternetService,0.019381169037290015,0.006759271705658022
TotalCharges,0.01171657320213022,0.0018921357428609148
OnlineSecurity,0.008143255185896137,0.0022221987904482445
TechSupport,0.004812289956719118,0.001614380798410527
PaperlessBilling,0.0032463181018888452,0.002062486177944577
MonthlyCharges,0.0032317063953927194,0.0016488653348138377
MultipleLines,0.0025857681978727286,0.0010141885163044426
PaymentMethod,0.0012475374236033288,0.0020453127448102175
Partner,0.0012016868963223182,0.000648494843798408
StreamingMovies,0.0011442477742340308,0.0007139679888070747
Dependents,0.0010737085014937975,0.0009475811657210962
StreamingTV,0.0007089196910379681,0.0008503501432338388
OnlineBackup,0.0004947826130769162,0.0022619605929002843
gender,0.00013805543379126207,0.000654162842132474
PhoneService,7.154697663636078e-05,0.00027735482314162615
SeniorCitizen,6.600460520678197e-05,0.0003688850108669776
DeviceProtection,-0.0011130089534491904,0.001044497848784121
